customer_id,signup_date,customer_segment,acquisition_channel,region,company_size,industry,account_manager_id
1,2023-01-15,Enterprise,"Direct Sales","North America",1000+,Technology,101
2,2023-01-22,Enterprise,"Direct Sales","North America",1000+,Finance,101
3,2023-02-05,Enterprise,Partner,Europe,1000+,Healthcare,102
4,2023-02-18,Enterprise,"Direct Sales","North America",201-1000,Technology,101
5,2023-03-10,Enterprise,"Direct Sales","Asia Pacific",1000+,Finance,103
6,2023-03-25,Enterprise,Partner,Europe,1000+,Manufacturing,102
7,2023-04-08,Enterprise,"Direct Sales","North America",1000+,Healthcare,101
8,2023-04-20,Enterprise,"Direct Sales",Europe,201-1000,Technology,102
9,2023-05-12,Enterprise,Partner,"North America",1000+,Finance,101
10,2023-05-28,Enterprise,"Direct Sales","Asia Pacific",1000+,Retail,103
11,2023-06-15,Enterprise,"Direct Sales","North America",201-1000,Healthcare,101
12,2023-06-30,Enterprise,Partner,Europe,1000+,Technology,102
13,2023-07-10,Enterprise,"Direct Sales","North America",1000+,Finance,101
14,2023-07-25,Enterprise,"Direct Sales",Europe,1000+,Manufacturing,102
15,2023-08-08,Enterprise,Partner,"Asia Pacific",201-1000,Technology,103
16,2023-08-22,Enterprise,"Direct Sales","North America",1000+,Healthcare,101
17,2023-09-05,Enterprise,"Direct Sales",Europe,1000+,Finance,102
18,2023-09-18,Enterprise,Partner,"North America",1000+,Retail,101
19,2023-10-10,Enterprise,"Direct Sales","Asia Pacific",201-1000,Technology,103
20,2023-10-25,Enterprise,"Direct Sales","North America",1000+,Healthcare,101
21,2023-11-08,Enterprise,Partner,Europe,1000+,Finance,102
22,2023-11-22,Enterprise,"Direct Sales","North America",1000+,Manufacturing,101
23,2023-12-05,Enterprise,"Direct Sales","Asia Pacific",201-1000,Technology,103
24,2023-12-20,Enterprise,Partner,"North America",1000+,Healthcare,101
25,2024-01-10,Enterprise,"Direct Sales",Europe,1000+,Finance,102
26,2024-01-25,Enterprise,"Direct Sales","North America",1000+,Technology,101
27,2024-02-08,Enterprise,Partner,"Asia Pacific",201-1000,Retail,103
28,2024-02-22,Enterprise,"Direct Sales","North America",1000+,Healthcare,101
29,2024-03-10,Enterprise,"Direct Sales",Europe,1000+,Finance,102
30,2024-03-25,Enterprise,Partner,"North America",1000+,Manufacturing,101
31,2024-04-08,Enterprise,"Direct Sales","Asia Pacific",1000+,Technology,103
32,2024-04-22,Enterprise,"Direct Sales","North America",201-1000,Healthcare,101
33,2024-05-10,Enterprise,Partner,Europe,1000+,Finance,102
