transaction_id,customer_id,transaction_date,amount,payment_status,days_overdue,invoice_id
1,1,2023-01-15,5358.93,Paid,13,INV-1-202301
2,1,2023-02-15,5358.93,Paid,0,INV-1-202302
3,1,2023-03-15,5358.93,Paid,0,INV-1-202303
4,1,2023-04-15,5358.93,Late,0,INV-1-202304
5,1,2023-05-15,5358.93,Late,9,INV-1-202305
6,1,2023-06-15,5358.93,Paid,0,INV-1-202306
7,1,2023-07-15,5358.93,Paid,0,INV-1-202307
8,1,2023-08-15,5358.93,Paid,0,INV-1-202308
9,1,2023-09-15,5358.93,Paid,7,INV-1-202309
10,1,2023-10-15,5358.93,Late,0,INV-1-202310
11,2,2023-01-22,5942.94,Paid,0,INV-2-202301
12,2,2023-02-22,5942.94,Late,0,INV-2-202302
13,2,2023-03-22,5942.94,Paid,0,INV-2-202303
14,2,2023-04-22,5942.94,Paid,0,INV-2-202304
15,2,2023-05-22,5942.94,Paid,0,INV-2-202305
16,2,2023-06-22,5942.94,Late,7,INV-2-202306
17,2,2023-07-22,5942.94,Paid,0,INV-2-202307
18,2,2023-08-22,5942.94,Paid,0,INV-2-202308
19,2,2023-09-22,5942.94,Paid,0,INV-2-202309
20,2,2023-10-22,5942.94,Paid,11,INV-2-202310
21,3,2023-02-05,6623.52,Paid,0,INV-3-202302
22,3,2023-03-05,6623.52,Paid,0,INV-3-202303
23,3,2023-04-05,6623.52,Paid,0,INV-3-202304
24,3,2023-05-05,6623.52,Paid,1,INV-3-202305
25,3,2023-06-05,6623.52,Paid,0,INV-3-202306
26,3,2023-07-05,6623.52,Late,0,INV-3-202307
27,3,2023-08-05,6623.52,Late,0,INV-3-202308
28,3,2023-09-05,6623.52,Paid,0,INV-3-202309
29,3,2023-10-05,6623.52,Paid,0,INV-3-202310
30,3,2023-11-05,6623.52,Late,1,INV-3-202311
31,4,2023-02-18,4979.29,Paid,0,INV-4-202302
32,4,2023-03-18,4979.29,Paid,0,INV-4-202303
33,4,2023-04-18,4979.29,Paid,0,INV-4-202304
34,4,2023-05-18,4979.29,Late,0,INV-4-202305
35,4,2023-06-18,4979.29,Late,0,INV-4-202306
36,4,2023-07-18,4979.29,Paid,0,INV-4-202307
37,4,2023-08-18,4979.29,Paid,0,INV-4-202308
38,4,2023-09-18,4979.29,Late,0,INV-4-202309
39,4,2023-10-18,4979.29,Paid,0,INV-4-202310
40,4,2023-11-18,4979.29,Paid,0,INV-4-202311
41,5,2023-03-10,6840.90,Paid,0,INV-5-202303
42,5,2023-04-10,6840.90,Paid,0,INV-5-202304
43,5,2023-05-10,6840.90,Pending,24,INV-5-202305
44,5,2023-06-10,6840.90,Late,12,INV-5-202306
45,5,2023-07-10,6840.90,Failed,10,INV-5-202307
46,5,2023-08-10,6840.90,Pending,13,INV-5-202308
47,5,2023-09-10,6840.90,Failed,22,INV-5-202309
48,5,2023-10-10,6840.90,Pending,7,INV-5-202310
49,5,2023-11-10,6840.90,Late,19,INV-5-202311
50,5,2023-12-10,6840.90,Pending,21,INV-5-202312
51,6,2023-03-25,5916.88,Paid,0,INV-6-202303
52,6,2023-04-25,5916.88,Paid,0,INV-6-202304
53,6,2023-05-25,5916.88,Paid,0,INV-6-202305
54,6,2023-06-25,5916.88,Paid,0,INV-6-202306
